user_id;rg_case;missing_daily_transactions;first_deposit_date;registration_date;country_name;language_name;gender;year_of_birth;age_at_registration;sum_stakes_fixedodds;sum_bets_fixedodds;bettingdays_fixedodds;duration_fixedodds;frequency_fixedodds;bets_per_day_fixedodds;euros_per_bet_fixedodds;net_loss_fixedodds;percent_lost_fixedodds;sum_stakes_liveaction;sum_bets_liveaction;bettingdays_liveaction;duration_liveaction;frequency_liveaction;bets_per_day_liveaction;euros_per_bet_liveaction;net_loss_liveaction;percent_lost_liveaction;sum_stakes_casino;sum_bets_casino;bettingdays_casino;duration_casino;frequency_casino;bets_per_day_casino;euros_per_bet_casino;net_loss_casino;percent_lost_casino
452829;1;0;2/17/2003;5/28/2002;Austria;German;M;1943.0;58.0;1912.68;1279.0;122.0;2823.0;0.0432164364151612;10.483606557377;1.49544956997654;211.7;0.110682393291089;4859.85;3564.0;214.0;2806.0;0.0762651461154669;16.6542056074766;1.36359427609428;84.4400000000023;0.0173750218628152;13205.0;5113.0;9.0;873.0;0.0103092783505155;568.111111111111;2.58263250537845;280.5;0.0212419538053768
455766;1;0;4/22/2003;5/30/2002;Austria;German;M;1964.0;38.0;57207.9939;24530.0;1998.0;2759.0;0.724175425878942;12.2772772772773;2.33216444761517;7360.67390000008;0.128665128738242;71470.5961;31277.0;1206.0;2719.0;0.443545421110702;25.9344941956882;2.28508476196566;5921.00610000013;0.0828453437231109;;;;;;;;;
459701;0;0;8/30/2005;6/1/2002;Germany;German;F;1957.0;45.0;628.0;300.0;49.0;1762.0;0.0278093076049943;6.12244897959184;2.09333333333333;-5.59000000000026;-0.00890127388535073;;;;;;;;;;;;;;;;;;
462391;0;0;6/4/2008;6/2/2002;Austria;German;M;1978.0;24.0;30.5;28.0;8.0;26.0;0.307692307692308;3.5;1.08928571428571;0.32;0.0104918032786885;;;;;;;;;;;;;;;;;;
464507;1;0;10/30/2005;6/3/2002;Germany;German;M;1971.0;31.0;28235.9773;13328.0;1024.0;1817.0;0.563566318106769;13.015625;2.11854571578632;8218.26730000002;0.291056591124261;2104.9917;1802.0;288.0;1832.0;0.157205240174672;6.25694444444444;1.16814189789123;206.2417;0.0979774409561804;503560.97;69135.0;538.0;1419.0;0.379140239605356;128.503717472119;7.28373428798727;7656.0;0.0152037200182532
465623;0;0;6/14/2004;6/3/2002;Austria;German;F;1980.0;22.0;799.67;92.0;52.0;2206.0;0.0235720761559383;1.76923076923077;8.6920652173913;522.53;0.653432040716796;194.33;19.0;12.0;2199.0;0.00545702592087312;1.58333333333333;10.2278947368421;-97.69;-0.502701590078732;;;;;;;;;
467890;0;0;1/3/2006;6/4/2002;Austria;German;M;1984.0;18.0;346.6;34.0;21.0;1047.0;0.0200573065902579;1.61904761904762;10.1941176470588;40.8;0.117714945181766;25.0;1.0;1.0;1.0;1.0;1.0;25.0;25.0;1.0;1882.68;619.0;19.0;1653.0;0.0114942528735632;32.5789473684211;3.04148626817447;34.1800000000001;0.0181549705738628
468786;0;0;3/3/2005;6/5/2002;Germany;German;M;1972.0;29.0;28.63;5.0;5.0;61.0;0.0819672131147541;1.0;5.726;28.63;1.0;9.0;3.0;3.0;45.0;0.0666666666666667;1.0;3.0;9.0;1.0;1633.0;14.0;5.0;23.0;0.217391304347826;2.8;116.642857142857;-92.5;-0.0566442131047152
469615;0;0;9/23/2008;6/5/2002;Austria;German;M;1980.0;22.0;70.56;45.0;38.0;637.0;0.0596546310832025;1.18421052631579;1.568;28.34;0.401643990929705;22.75;20.0;10.0;625.0;0.016;2.0;1.1375;4.16;0.182857142857143;112.5;113.0;3.0;7.0;0.428571428571429;37.6666666666667;0.995575221238938;17.5;0.155555555555556
470323;0;0;12/20/2006;6/5/2002;Germany;German;M;1970.0;31.0;12.1;1.0;1.0;1.0;1.0;1.0;12.1;-3.63;-0.3;129.5;35.0;17.0;1275.0;0.0133333333333333;2.05882352941176;3.7;21.63;0.167027027027027;;;;;;;;;
